Experiment Accession	Experiment Aliases	File Accession	File Aliases	Submitted File Name	Date Created	Run Type	Read Length	Paired End	Bio Rep Num	Tech Rep Num	Replicate Aliases	Library Accession	Library Aliases
ENCSR562JTY	['bradley-bernstein:Project Element 1486']	ENCFF931LYY	['bradley-bernstein:Rep_DNA_Lib 6822_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/068/22/bradley-bernstein_Rep_DNA_Lib_6822.1.fastq.gz	2015-12-11T15:06:18.341563+00:00	paired-ended	76	1	1	1	['bradley-bernstein:Rep_DNA_Lib 6822']	ENCLB727HCL	['bradley-bernstein:DNA_Lib 6822']
ENCSR562JTY	['bradley-bernstein:Project Element 1486']	ENCFF010ZMN	['bradley-bernstein:Rep_DNA_Lib 6184_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/061/84/bradley-bernstein_Rep_DNA_Lib_6184.1.fastq.gz	2015-12-11T15:42:10.392638+00:00	paired-ended	76	1	2	1	['bradley-bernstein:Rep_DNA_Lib 6184']	ENCLB427UUV	['bradley-bernstein:DNA_Lib 6184']
ENCSR562JTY	['bradley-bernstein:Project Element 1486']	ENCFF959GLM	['bradley-bernstein:Rep_DNA_Lib 6184_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/061/84/bradley-bernstein_Rep_DNA_Lib_6184.2.fastq.gz	2015-12-11T16:38:37.701908+00:00	paired-ended	76	2	2	1	['bradley-bernstein:Rep_DNA_Lib 6184']	ENCLB427UUV	['bradley-bernstein:DNA_Lib 6184']
ENCSR562JTY	['bradley-bernstein:Project Element 1486']	ENCFF998ZKX	['bradley-bernstein:Rep_DNA_Lib 6822_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/068/22/bradley-bernstein_Rep_DNA_Lib_6822.2.fastq.gz	2016-01-20T16:34:18.238138+00:00	paired-ended	76	2	1	1	['bradley-bernstein:Rep_DNA_Lib 6822']	ENCLB727HCL	['bradley-bernstein:DNA_Lib 6822']
ENCSR735JCD	['bradley-bernstein:Project Element 107']	ENCFF792XQD	['bradley-bernstein:Rep_DNA_Lib 6616_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/066/16/bradley-bernstein_Rep_DNA_Lib_6616.fastq.gz	2016-02-26T14:19:06.437078+00:00	single-ended	76		2	1	['bradley-bernstein:Rep_DNA_Lib 6616']	ENCLB653ZRV	['bradley-bernstein:DNA_Lib 6616']
ENCSR735JCD	['bradley-bernstein:Project Element 107']	ENCFF648WNU	['bradley-bernstein:Rep_DNA_Lib 6125_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/061/25/bradley-bernstein_Rep_DNA_Lib_6125.fastq.gz	2016-02-26T15:21:01.289360+00:00	single-ended	36		1	1	['bradley-bernstein:Rep_DNA_Lib 6125']	ENCLB541ZLR	['bradley-bernstein:DNA_Lib 6125']
ENCSR915SJR	['bradley-bernstein:Project Element 1927']	ENCFF143DZF	['bradley-bernstein:Rep_DNA_Lib 6870_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/068/70/bradley-bernstein_Rep_DNA_Lib_6870.fastq.gz	2016-02-26T12:49:26.682854+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 6870']	ENCLB487ERN	['bradley-bernstein:DNA_Lib 6870']
ENCSR915SJR	['bradley-bernstein:Project Element 1927']	ENCFF240MSC	['bradley-bernstein:Rep_DNA_Lib 7403_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/074/03/bradley-bernstein_Rep_DNA_Lib_7403.fastq.gz	2016-03-03T02:58:19.787432+00:00	single-ended	76		2	1	['bradley-bernstein:Rep_DNA_Lib 7403']	ENCLB654QVD	['bradley-bernstein:DNA_Lib 7403']
ENCSR423UOT	['bradley-bernstein:Project Element 881']	ENCFF738STQ	['bradley-bernstein:Rep_DNA_Lib 6802_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/068/02/bradley-bernstein_Rep_DNA_Lib_6802.1.fastq.gz	2015-12-10T18:39:21.155483+00:00	paired-ended	76	1	1	1	['bradley-bernstein:Rep_DNA_Lib 6802']	ENCLB288IVO	['bradley-bernstein:DNA_Lib 6802']
ENCSR423UOT	['bradley-bernstein:Project Element 881']	ENCFF673UMM	['bradley-bernstein:Rep_DNA_Lib 6802_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/068/02/bradley-bernstein_Rep_DNA_Lib_6802.2.fastq.gz	2015-12-11T16:12:27.062944+00:00	paired-ended	76	2	1	1	['bradley-bernstein:Rep_DNA_Lib 6802']	ENCLB288IVO	['bradley-bernstein:DNA_Lib 6802']
ENCSR423UOT	['bradley-bernstein:Project Element 881']	ENCFF663CQE	['bradley-bernstein:Rep_DNA_Lib 6546_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/065/46/bradley-bernstein_Rep_DNA_Lib_6546.1.fastq.gz	2015-12-11T16:20:39.959412+00:00	paired-ended	76	1	2	1	['bradley-bernstein:Rep_DNA_Lib 6546']	ENCLB658VCI	['bradley-bernstein:DNA_Lib 6546']
ENCSR423UOT	['bradley-bernstein:Project Element 881']	ENCFF952GFB	['bradley-bernstein:Rep_DNA_Lib 6546_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/065/46/bradley-bernstein_Rep_DNA_Lib_6546.2.fastq.gz	2015-12-11T17:17:40.745155+00:00	paired-ended	76	2	2	1	['bradley-bernstein:Rep_DNA_Lib 6546']	ENCLB658VCI	['bradley-bernstein:DNA_Lib 6546']
ENCSR747BYL	['bradley-bernstein:Project Element 888']	ENCFF332WSR	['bradley-bernstein:Rep_DNA_Lib 6936_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/069/36/bradley-bernstein_Rep_DNA_Lib_6936.1.fastq.gz	2015-12-11T15:45:53.740670+00:00	paired-ended	76	1	2	1	['bradley-bernstein:Rep_DNA_Lib 6936']	ENCLB268GQB	['bradley-bernstein:DNA_Lib 6936']
ENCSR747BYL	['bradley-bernstein:Project Element 888']	ENCFF343VIJ	['bradley-bernstein:Rep_DNA_Lib 6936_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/069/36/bradley-bernstein_Rep_DNA_Lib_6936.2.fastq.gz	2015-12-11T17:16:32.994817+00:00	paired-ended	76	2	2	1	['bradley-bernstein:Rep_DNA_Lib 6936']	ENCLB268GQB	['bradley-bernstein:DNA_Lib 6936']
ENCSR747BYL	['bradley-bernstein:Project Element 888']	ENCFF561VTH	['bradley-bernstein:Rep_DNA_Lib 917_SE_replacement']	/seq/epiprod/ENCODE/Submissions/Libraries/009/17/bradley-bernstein_Rep_DNA_Lib_917.fastq.gz	2016-02-24T04:07:45.242686+00:00	single-ended	36		1	1	['bradley-bernstein:Rep_DNA_Lib 917']	ENCLB600ZPF	['bradley-bernstein:DNA_Lib 917']
ENCSR541AMF	['bradley-bernstein:Project Element 471']	ENCFF357EHL	['bradley-bernstein:Rep_DNA_Lib 6551_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/065/51/bradley-bernstein_Rep_DNA_Lib_6551.1.fastq.gz	2015-12-10T18:26:06.141611+00:00	paired-ended	76	1	1	1	['bradley-bernstein:Rep_DNA_Lib 6551']	ENCLB471RHA	['bradley-bernstein:DNA_Lib 6551']
ENCSR541AMF	['bradley-bernstein:Project Element 471']	ENCFF603IPW	['bradley-bernstein:Rep_DNA_Lib 6551_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/065/51/bradley-bernstein_Rep_DNA_Lib_6551.2.fastq.gz	2015-12-11T14:35:08.320107+00:00	paired-ended	76	2	1	1	['bradley-bernstein:Rep_DNA_Lib 6551']	ENCLB471RHA	['bradley-bernstein:DNA_Lib 6551']
ENCSR541AMF	['bradley-bernstein:Project Element 471']	ENCFF775QDK	['bradley-bernstein:Rep_DNA_Lib 6556_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/065/56/bradley-bernstein_Rep_DNA_Lib_6556.1.fastq.gz	2015-12-11T15:01:21.281115+00:00	paired-ended	76	1	2	1	['bradley-bernstein:Rep_DNA_Lib 6556']	ENCLB937OXB	['bradley-bernstein:DNA_Lib 6556']
ENCSR541AMF	['bradley-bernstein:Project Element 471']	ENCFF264DQN	['bradley-bernstein:Rep_DNA_Lib 6556_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/065/56/bradley-bernstein_Rep_DNA_Lib_6556.2.fastq.gz	2015-12-11T17:33:12.841262+00:00	paired-ended	76	2	2	1	['bradley-bernstein:Rep_DNA_Lib 6556']	ENCLB937OXB	['bradley-bernstein:DNA_Lib 6556']
ENCSR053PIY	['bradley-bernstein:Project Element 2193']	ENCFF707UFJ	['bradley-bernstein:Rep_DNA_Lib 7726_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/077/26/bradley-bernstein_Rep_DNA_Lib_7726.fastq.gz	2016-03-22T02:25:54.304155+00:00	single-ended	76		1	2	['bradley-bernstein:Rep_DNA_Lib 7726']	ENCLB092WWL	['bradley-bernstein:DNA_Lib 7726']
ENCSR053PIY	['bradley-bernstein:Project Element 2193']	ENCFF446BXG	['bradley-bernstein:Rep_DNA_Lib 7755_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/077/55/bradley-bernstein_Rep_DNA_Lib_7755.fastq.gz	2016-03-22T02:40:21.131896+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 7755']	ENCLB559KSD	['bradley-bernstein:DNA_Lib 7755']
ENCSR760EGQ	['bradley-bernstein:Project Element 2159']	ENCFF920QIL	['bradley-bernstein:Rep_DNA_Lib 7789_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/077/89/bradley-bernstein_Rep_DNA_Lib_7789.fastq.gz	2016-03-21T20:42:26.137112+00:00	single-ended	76		1	2	['bradley-bernstein:Rep_DNA_Lib 7789']	ENCLB176JHX	['bradley-bernstein:DNA_Lib 7789']
ENCSR760EGQ	['bradley-bernstein:Project Element 2159']	ENCFF831CFS	['bradley-bernstein:Rep_DNA_Lib 7549_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/075/49/bradley-bernstein_Rep_DNA_Lib_7549.fastq.gz	2016-03-22T00:11:36.595994+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 7549']	ENCLB626JOC	['bradley-bernstein:DNA_Lib 7549']
ENCSR430YRJ	['bradley-bernstein:Project Element 1491']	ENCFF606ZKP	['bradley-bernstein:Rep_DNA_Lib 6807_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/068/07/bradley-bernstein_Rep_DNA_Lib_6807.1.fastq.gz	2015-05-22T15:08:37.865827+00:00	paired-ended	30	1	2	1	['bradley-bernstein:Rep_DNA_Lib 6807']	ENCLB582DBY	['bradley-bernstein:DNA_Lib 6807']
ENCSR430YRJ	['bradley-bernstein:Project Element 1491']	ENCFF908SZA	['bradley-bernstein:Rep_DNA_Lib 6807_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/068/07/bradley-bernstein_Rep_DNA_Lib_6807.2.fastq.gz	2015-05-22T15:09:28.997948+00:00	paired-ended	30	2	2	1	['bradley-bernstein:Rep_DNA_Lib 6807']	ENCLB582DBY	['bradley-bernstein:DNA_Lib 6807']
ENCSR430YRJ	['bradley-bernstein:Project Element 1491']	ENCFF805VUU	['bradley-bernstein:Rep_DNA_Lib 6114_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/061/14/bradley-bernstein_Rep_DNA_Lib_6114.1.fastq.gz	2015-12-10T17:53:02.362785+00:00	paired-ended	76	1	1	1	['bradley-bernstein:Rep_DNA_Lib 6114']	ENCLB285XYV	['bradley-bernstein:DNA_Lib 6114']
ENCSR430YRJ	['bradley-bernstein:Project Element 1491']	ENCFF890IBL	['bradley-bernstein:Rep_DNA_Lib 6114_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/061/14/bradley-bernstein_Rep_DNA_Lib_6114.2.fastq.gz	2015-12-10T18:46:27.800771+00:00	paired-ended	76	2	1	1	['bradley-bernstein:Rep_DNA_Lib 6114']	ENCLB285XYV	['bradley-bernstein:DNA_Lib 6114']
ENCSR878HPJ	['bradley-bernstein:Project Element 480']	ENCFF959JYI	['bradley-bernstein:Rep_DNA_Lib 6557_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/065/57/bradley-bernstein_Rep_DNA_Lib_6557.1.fastq.gz	2015-12-11T15:08:24.116160+00:00	paired-ended	76	1	2	1	['bradley-bernstein:Rep_DNA_Lib 6557']	ENCLB391NRG	['bradley-bernstein:DNA_Lib 6557']
ENCSR878HPJ	['bradley-bernstein:Project Element 480']	ENCFF200IJQ	['bradley-bernstein:Rep_DNA_Lib 6552_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/065/52/bradley-bernstein_Rep_DNA_Lib_6552.1.fastq.gz	2015-12-11T16:10:21.441977+00:00	paired-ended	76	1	1	1	['bradley-bernstein:Rep_DNA_Lib 6552']	ENCLB546CPR	['bradley-bernstein:DNA_Lib 6552']
ENCSR878HPJ	['bradley-bernstein:Project Element 480']	ENCFF053RVI	['bradley-bernstein:Rep_DNA_Lib 6552_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/065/52/bradley-bernstein_Rep_DNA_Lib_6552.2.fastq.gz	2015-12-11T16:37:41.968016+00:00	paired-ended	76	2	1	1	['bradley-bernstein:Rep_DNA_Lib 6552']	ENCLB546CPR	['bradley-bernstein:DNA_Lib 6552']
ENCSR878HPJ	['bradley-bernstein:Project Element 480']	ENCFF567JLY	['bradley-bernstein:Rep_DNA_Lib 6557_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/065/57/bradley-bernstein_Rep_DNA_Lib_6557.2.fastq.gz	2015-12-11T17:12:07.087468+00:00	paired-ended	76	2	2	1	['bradley-bernstein:Rep_DNA_Lib 6557']	ENCLB391NRG	['bradley-bernstein:DNA_Lib 6557']
ENCSR125IJY	['bradley-bernstein:Project Element 1052']	ENCFF007KCC	['bradley-bernstein:Rep_DNA_Lib 6801_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/068/01/bradley-bernstein_Rep_DNA_Lib_6801.1.fastq.gz	2015-12-10T18:05:49.970428+00:00	paired-ended	76	1	2	1	['bradley-bernstein:Rep_DNA_Lib 6801']	ENCLB219ECM	['bradley-bernstein:DNA_Lib 6801']
ENCSR125IJY	['bradley-bernstein:Project Element 1052']	ENCFF141CVI	['bradley-bernstein:Rep_DNA_Lib 6801_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/068/01/bradley-bernstein_Rep_DNA_Lib_6801.2.fastq.gz	2015-12-11T14:30:50.237377+00:00	paired-ended	76	2	2	1	['bradley-bernstein:Rep_DNA_Lib 6801']	ENCLB219ECM	['bradley-bernstein:DNA_Lib 6801']
ENCSR125IJY	['bradley-bernstein:Project Element 1052']	ENCFF943CJP	['bradley-bernstein:Rep_DNA_Lib 6545_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/065/45/bradley-bernstein_Rep_DNA_Lib_6545.1.fastq.gz	2015-12-11T15:10:57.616188+00:00	paired-ended	76	1	1	1	['bradley-bernstein:Rep_DNA_Lib 6545']	ENCLB937LHB	['bradley-bernstein:DNA_Lib 6545']
ENCSR125IJY	['bradley-bernstein:Project Element 1052']	ENCFF615GTY	['bradley-bernstein:Rep_DNA_Lib 6545_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/065/45/bradley-bernstein_Rep_DNA_Lib_6545.2.fastq.gz	2015-12-11T16:02:20.630406+00:00	paired-ended	76	2	1	1	['bradley-bernstein:Rep_DNA_Lib 6545']	ENCLB937LHB	['bradley-bernstein:DNA_Lib 6545']
ENCSR897FOZ	['bradley-bernstein:Project Element 660']	ENCFF002AWP	['bradley-bernstein:Rep_DNA_Lib 3901_SE']	Libraries/039/01/bradley-bernstein_Rep_DNA_Lib_3901.fastq.gz	2014-03-19	single-ended	36		2	1	['bradley-bernstein:Rep_DNA_Lib 3901']	ENCLB190ALY	['bradley-bernstein:DNA_Lib 3901']
ENCSR897FOZ	['bradley-bernstein:Project Element 660']	ENCFF002AWU	['bradley-bernstein:Rep_DNA_Lib 4179_SE']	Libraries/041/79/bradley-bernstein_Rep_DNA_Lib_4179.fastq.gz	2014-03-19	single-ended	36		1	1	['bradley-bernstein:Rep_DNA_Lib 4179']	ENCLB667AMS	['bradley-bernstein:DNA_Lib 4179']
ENCSR475NLR	['bradley-bernstein:Project Element 658']	ENCFF002AWO	['bradley-bernstein:Rep_DNA_Lib 3902_SE']	Libraries/039/02/bradley-bernstein_Rep_DNA_Lib_3902.fastq.gz	2014-03-19	single-ended	36		2	1	['bradley-bernstein:Rep_DNA_Lib 3902']	ENCLB556KZE	['bradley-bernstein:DNA_Lib 3902']
ENCSR475NLR	['bradley-bernstein:Project Element 658']	ENCFF002AWV	['bradley-bernstein:Rep_DNA_Lib 4178_SE']	Libraries/041/78/bradley-bernstein_Rep_DNA_Lib_4178.fastq.gz	2014-03-19	single-ended	36		1	1	['bradley-bernstein:Rep_DNA_Lib 4178']	ENCLB247XXA	['bradley-bernstein:DNA_Lib 4178']
ENCSR384LYW	['bradley-bernstein:Project Element 2011']	ENCFF273BIC	['bradley-bernstein:Rep_DNA_Lib 7048_76_se']	/seq/epiprod/ENCODE/Submissions/Libraries/070/48/bradley-bernstein_Rep_DNA_Lib_7048_76_se.fastq.gz	2016-04-12T05:03:02.625711+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 7048']	ENCLB929LYK	['bradley-bernstein:DNA_Lib 7048']
ENCSR591KSN	['bradley-bernstein:Project Element 2026']	ENCFF792KDV	['bradley-bernstein:Rep_DNA_Lib 7269_74_se']	/seq/epiprod/ENCODE/Submissions/Libraries/072/69/bradley-bernstein_Rep_DNA_Lib_7269_74_se.fastq.gz	2016-04-12T04:03:29.129720+00:00	single-ended	74		1	1	['bradley-bernstein:Rep_DNA_Lib 7269']	ENCLB613CDJ	['bradley-bernstein:DNA_Lib 7269']
ENCSR313NJN	['bradley-bernstein:Project Element 1438']	ENCFF473ZAE	['bradley-bernstein:Rep_DNA_Lib 6695_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/066/95/bradley-bernstein_Rep_DNA_Lib_6695.1.fastq.gz	2015-12-10T18:02:15.960934+00:00	paired-ended	76	1	1	1	['bradley-bernstein:Rep_DNA_Lib 6695']	ENCLB862HRK	['bradley-bernstein:DNA_Lib 6695']
ENCSR313NJN	['bradley-bernstein:Project Element 1438']	ENCFF448JEE	['bradley-bernstein:Rep_DNA_Lib 6511_PE_1']	/seq/epiprod/ENCODE/Submissions/Libraries/065/11/bradley-bernstein_Rep_DNA_Lib_6511.1.fastq.gz	2015-12-10T18:47:44.935517+00:00	paired-ended	76	1	2	1	['bradley-bernstein:Rep_DNA_Lib 6511']	ENCLB425TPY	['bradley-bernstein:DNA_Lib 6511']
ENCSR313NJN	['bradley-bernstein:Project Element 1438']	ENCFF887PWD	['bradley-bernstein:Rep_DNA_Lib 6695_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/066/95/bradley-bernstein_Rep_DNA_Lib_6695.2.fastq.gz	2015-12-11T16:33:55.431538+00:00	paired-ended	76	2	1	1	['bradley-bernstein:Rep_DNA_Lib 6695']	ENCLB862HRK	['bradley-bernstein:DNA_Lib 6695']
ENCSR313NJN	['bradley-bernstein:Project Element 1438']	ENCFF107XMB	['bradley-bernstein:Rep_DNA_Lib 6511_PE_2']	/seq/epiprod/ENCODE/Submissions/Libraries/065/11/bradley-bernstein_Rep_DNA_Lib_6511.2.fastq.gz	2015-12-11T16:16:40.032475+00:00	paired-ended	76	2	2	1	['bradley-bernstein:Rep_DNA_Lib 6511']	ENCLB425TPY	['bradley-bernstein:DNA_Lib 6511']
ENCSR252QYR	['bradley-bernstein:Project Element 2008']	ENCFF440WEY	['bradley-bernstein:Rep_DNA_Lib 7857_76_se']	/seq/epiprod/ENCODE/Submissions/Libraries/078/57/bradley-bernstein_Rep_DNA_Lib_7857_76_se.fastq.gz	2016-04-12T00:15:49.850987+00:00	single-ended	76		2	1	['bradley-bernstein:Rep_DNA_Lib 7857']	ENCLB590TMU	['bradley-bernstein:DNA_Lib 7857']
ENCSR252QYR	['bradley-bernstein:Project Element 2008']	ENCFF855FAY	['bradley-bernstein:Rep_DNA_Lib 7734_76_se']	/seq/epiprod/ENCODE/Submissions/Libraries/077/34/bradley-bernstein_Rep_DNA_Lib_7734_76_se.fastq.gz	2016-04-12T05:05:06.057367+00:00	single-ended	76		1	2	['bradley-bernstein:Rep_DNA_Lib 7734']	ENCLB753UCH	['bradley-bernstein:DNA_Lib 7734']
ENCSR252QYR	['bradley-bernstein:Project Element 2008']	ENCFF371AJH	['bradley-bernstein:Rep_DNA_Lib 7870_76_se']	/seq/epiprod/ENCODE/Submissions/Libraries/078/70/bradley-bernstein_Rep_DNA_Lib_7870_76_se.fastq.gz	2016-04-12T05:09:22.166851+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 7870']	ENCLB069MNK	['bradley-bernstein:DNA_Lib 7870']
ENCSR689QUB	['bradley-bernstein:Project Element 2023']	ENCFF753JZJ	['bradley-bernstein:Rep_DNA_Lib 7757_76_se']	/seq/epiprod/ENCODE/Submissions/Libraries/077/57/bradley-bernstein_Rep_DNA_Lib_7757_76_se.fastq.gz	2016-04-11T22:13:12.858103+00:00	single-ended	76		2	1	['bradley-bernstein:Rep_DNA_Lib 7757']	ENCLB522NNA	['bradley-bernstein:DNA_Lib 7757']
ENCSR689QUB	['bradley-bernstein:Project Element 2023']	ENCFF442QTG	['bradley-bernstein:Rep_DNA_Lib 7851_76_se']	/seq/epiprod/ENCODE/Submissions/Libraries/078/51/bradley-bernstein_Rep_DNA_Lib_7851_76_se.fastq.gz	2016-04-12T04:51:11.277251+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 7851']	ENCLB312QWK	['bradley-bernstein:DNA_Lib 7851']
ENCSR507UDH	['bradley-bernstein:Project Element 2018']	ENCFF778YPM	['bradley-bernstein:Rep_DNA_Lib 7855_76_se']	/seq/epiprod/ENCODE/Submissions/Libraries/078/55/bradley-bernstein_Rep_DNA_Lib_7855_76_se.fastq.gz	2016-04-11T19:17:18.432189+00:00	single-ended	76		2	1	['bradley-bernstein:Rep_DNA_Lib 7855']	ENCLB798HDH	['bradley-bernstein:DNA_Lib 7855']
ENCSR507UDH	['bradley-bernstein:Project Element 2018']	ENCFF343XGX	['bradley-bernstein:Rep_DNA_Lib 7046_76_se']	/seq/epiprod/ENCODE/Submissions/Libraries/070/46/bradley-bernstein_Rep_DNA_Lib_7046_76_se.fastq.gz	2016-04-11T22:53:42.985765+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 7046']	ENCLB094CKY	['bradley-bernstein:DNA_Lib 7046']
ENCSR507UDH	['bradley-bernstein:Project Element 2018']	ENCFF667AVG	['bradley-bernstein:Rep_DNA_Lib 7297_74_se']	/seq/epiprod/ENCODE/Submissions/Libraries/072/97/bradley-bernstein_Rep_DNA_Lib_7297_74_se.fastq.gz	2016-04-12T03:49:19.265025+00:00	single-ended	74		1	2	['bradley-bernstein:Rep_DNA_Lib 7297']	ENCLB640DXN	['bradley-bernstein:DNA_Lib 7297']
ENCSR592ETL	['bradley-bernstein:Project Element 1462']	ENCFF866BCM	['bradley-bernstein:Rep_DNA_Lib 6637_76_pe_1']	/seq/epiprod/ENCODE/Submissions/Libraries/066/37/bradley-bernstein_Rep_DNA_Lib_6637_76_pe_1.fastq.gz	2016-04-12T01:15:16.652966+00:00	paired-ended	76	1	1	1	['bradley-bernstein:Rep_DNA_Lib 6637']	ENCLB556CZP	['bradley-bernstein:DNA_Lib 6637']
ENCSR592ETL	['bradley-bernstein:Project Element 1462']	ENCFF095CYJ	['bradley-bernstein:Rep_DNA_Lib 6637_76_pe_2']	/seq/epiprod/ENCODE/Submissions/Libraries/066/37/bradley-bernstein_Rep_DNA_Lib_6637_76_pe_2.fastq.gz	2016-04-12T01:19:20.081414+00:00	paired-ended	76	2	1	1	['bradley-bernstein:Rep_DNA_Lib 6637']	ENCLB556CZP	['bradley-bernstein:DNA_Lib 6637']
ENCSR592ETL	['bradley-bernstein:Project Element 1462']	ENCFF371MNH	['bradley-bernstein:Rep_DNA_Lib 7017_76_se']	/seq/epiprod/ENCODE/Submissions/Libraries/070/17/bradley-bernstein_Rep_DNA_Lib_7017_76_se.fastq.gz	2016-04-12T06:03:27.646700+00:00	single-ended	76		1	2	['bradley-bernstein:Rep_DNA_Lib 7017']	ENCLB060MEC	['bradley-bernstein:DNA_Lib 7017']
ENCSR034BEQ	['bradley-bernstein:Project Element 2020']	ENCFF997MXD	['bradley-bernstein:Rep_DNA_Lib 7043_76_se']	/seq/epiprod/ENCODE/Submissions/Libraries/070/43/bradley-bernstein_Rep_DNA_Lib_7043_76_se.fastq.gz	2016-04-11T23:56:34.622755+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 7043']	ENCLB161XYT	['bradley-bernstein:DNA_Lib 7043']
ENCSR034BEQ	['bradley-bernstein:Project Element 2020']	ENCFF980AUK	['bradley-bernstein:Rep_DNA_Lib 7872_76_se']	/seq/epiprod/ENCODE/Submissions/Libraries/078/72/bradley-bernstein_Rep_DNA_Lib_7872_76_se.fastq.gz	2016-04-12T06:05:18.061968+00:00	single-ended	76		2	1	['bradley-bernstein:Rep_DNA_Lib 7872']	ENCLB780JMR	['bradley-bernstein:DNA_Lib 7872']
ENCSR484MFB	['bradley-bernstein:Project Element 2015']	ENCFF804ILO	['bradley-bernstein:Rep_DNA_Lib 7761_76_se']	/seq/epiprod/ENCODE/Submissions/Libraries/077/61/bradley-bernstein_Rep_DNA_Lib_7761_76_se.fastq.gz	2016-04-11T20:30:18.954947+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 7761']	ENCLB642SUE	['bradley-bernstein:DNA_Lib 7761']
ENCSR484MFB	['bradley-bernstein:Project Element 2015']	ENCFF546NZW	['bradley-bernstein:Rep_DNA_Lib 7739_76_se']	/seq/epiprod/ENCODE/Submissions/Libraries/077/39/bradley-bernstein_Rep_DNA_Lib_7739_76_se.fastq.gz	2016-04-12T06:16:33.705892+00:00	single-ended	76		1	2	['bradley-bernstein:Rep_DNA_Lib 7739']	ENCLB517UEN	['bradley-bernstein:DNA_Lib 7739']
ENCSR177QFY	['bradley-bernstein:Project Element 2360']	ENCFF396LFR	['bradley-bernstein:Rep_DNA_Lib 7555_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/075/55/bradley-bernstein_Rep_DNA_Lib_7555.fastq.gz	2016-03-22T00:15:57.016284+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 7555']	ENCLB281DGJ	['bradley-bernstein:DNA_Lib 7555']
ENCSR177QFY	['bradley-bernstein:Project Element 2360']	ENCFF215HBL	['bradley-bernstein:Rep_DNA_Lib 7790_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/077/90/bradley-bernstein_Rep_DNA_Lib_7790.fastq.gz	2016-03-22T02:27:39.384647+00:00	single-ended	76		1	2	['bradley-bernstein:Rep_DNA_Lib 7790']	ENCLB670CFC	['bradley-bernstein:DNA_Lib 7790']
ENCSR926NMC	['bradley-bernstein:Project Element 2356']	ENCFF859LHZ	['bradley-bernstein:Rep_DNA_Lib 7553_SE']	/seq/epiprod/ENCODE/Submissions/Libraries/075/53/bradley-bernstein_Rep_DNA_Lib_7553.fastq.gz	2016-03-22T02:33:32.654174+00:00	single-ended	76		1	1	['bradley-bernstein:Rep_DNA_Lib 7553']	ENCLB193KMB	['bradley-bernstein:DNA_Lib 7553']
