File Accession	Annotation	Cell Line	Target	Experiment Accession	Experiment Aliases	Biosample Accession	Biosample Aliases	Library Accession	Library Aliases	Lab	Submitted Name
ENCFF708UCZ	V19	K562	/targets/RRP9-human/	ENCSR210KJB	['brenton-graveley:RRP9_BGKLV19']	ENCBS657ZYP	['brenton-graveley:RRP9_BGKLV19_48B']	ENCLB479NQQ	['brenton-graveley:L-RRP9_BGKLV19_48B']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR210KJB/rep2_1/ENCSR210KJB_rep2_1_tophat.bam
ENCFF306ATN	V19	K562	/targets/RRP9-human/	ENCSR210KJB	['brenton-graveley:RRP9_BGKLV19']	ENCBS368MWR	['brenton-graveley:RRP9_BGKLV19_47B']	ENCLB050GUS	['brenton-graveley:L-RRP9_BGKLV19_47B']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR210KJB/rep1_1/ENCSR210KJB_rep1_1_star_genome.bam
ENCFF884XIE	V19	K562	/targets/RRP9-human/	ENCSR210KJB	['brenton-graveley:RRP9_BGKLV19']	ENCBS368MWR	['brenton-graveley:RRP9_BGKLV19_47B']	ENCLB050GUS	['brenton-graveley:L-RRP9_BGKLV19_47B']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR210KJB/rep1_1/ENCSR210KJB_rep1_1_star_anno.bam
ENCFF775CLV	V19	K562	/targets/RRP9-human/	ENCSR210KJB	['brenton-graveley:RRP9_BGKLV19']	ENCBS657ZYP	['brenton-graveley:RRP9_BGKLV19_48B']	ENCLB479NQQ	['brenton-graveley:L-RRP9_BGKLV19_48B']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR210KJB/rep2_1/ENCSR210KJB_rep2_1_star_genome.bam
ENCFF084ITS	V19	K562	/targets/RRP9-human/	ENCSR210KJB	['brenton-graveley:RRP9_BGKLV19']	ENCBS657ZYP	['brenton-graveley:RRP9_BGKLV19_48B']	ENCLB479NQQ	['brenton-graveley:L-RRP9_BGKLV19_48B']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR210KJB/rep2_1/ENCSR210KJB_rep2_1_star_anno.bam
ENCFF526TMS	V24	K562	/targets/RRP9-human/	ENCSR210KJB	['brenton-graveley:RRP9_BGKLV19']	ENCBS368MWR	['brenton-graveley:RRP9_BGKLV19_47B']	ENCLB050GUS	['brenton-graveley:L-RRP9_BGKLV19_47B']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR210KJB/rep1_1/ENCSR210KJB_rep1_1_tophat.bam
ENCFF750ECA	V24	K562	/targets/RRP9-human/	ENCSR210KJB	['brenton-graveley:RRP9_BGKLV19']	ENCBS657ZYP	['brenton-graveley:RRP9_BGKLV19_48B']	ENCLB479NQQ	['brenton-graveley:L-RRP9_BGKLV19_48B']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR210KJB/rep2_1/ENCSR210KJB_rep2_1_tophat.bam
ENCFF373FWY	V24	K562	/targets/RRP9-human/	ENCSR210KJB	['brenton-graveley:RRP9_BGKLV19']	ENCBS368MWR	['brenton-graveley:RRP9_BGKLV19_47B']	ENCLB050GUS	['brenton-graveley:L-RRP9_BGKLV19_47B']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR210KJB/rep1_1/ENCSR210KJB_rep1_1_star_genome.bam
ENCFF370FDT	V24	K562	/targets/RRP9-human/	ENCSR210KJB	['brenton-graveley:RRP9_BGKLV19']	ENCBS657ZYP	['brenton-graveley:RRP9_BGKLV19_48B']	ENCLB479NQQ	['brenton-graveley:L-RRP9_BGKLV19_48B']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR210KJB/rep2_1/ENCSR210KJB_rep2_1_star_genome.bam
ENCFF402DPG	V24	K562	/targets/RRP9-human/	ENCSR210KJB	['brenton-graveley:RRP9_BGKLV19']	ENCBS368MWR	['brenton-graveley:RRP9_BGKLV19_47B']	ENCLB050GUS	['brenton-graveley:L-RRP9_BGKLV19_47B']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR210KJB/rep1_1/ENCSR210KJB_rep1_1_star_anno.bam
ENCFF436BNF	V24	K562	/targets/RRP9-human/	ENCSR210KJB	['brenton-graveley:RRP9_BGKLV19']	ENCBS657ZYP	['brenton-graveley:RRP9_BGKLV19_48B']	ENCLB479NQQ	['brenton-graveley:L-RRP9_BGKLV19_48B']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR210KJB/rep2_1/ENCSR210KJB_rep2_1_star_anno.bam
ENCFF570WZG		HepG2	/targets/GTF2F1-human/	ENCSR295XKC	['brenton-graveley:GTF2F1_BGHLV14']	ENCBS824QCP	['brenton-graveley:GTF2F1_BGHLV14-23']	ENCLB962LBA	['brenton-graveley:L-GTF2F1_BGHLV14-23']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set14/tophat/novel_juncs/GTF2F1_BGHLV14-23/merged.bam
ENCFF241EAJ		HepG2	/targets/GTF2F1-human/	ENCSR295XKC	['brenton-graveley:GTF2F1_BGHLV14']	ENCBS466PDL	['brenton-graveley:GTF2F1_BGHLV14-24']	ENCLB224EFN	['brenton-graveley:L-GTF2F1_BGHLV14-24']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set14/tophat/novel_juncs/GTF2F1_BGHLV14-24/merged.bam
ENCFF654MTN	V19	HepG2	/targets/GTF2F1-human/	ENCSR295XKC	['brenton-graveley:GTF2F1_BGHLV14']	ENCBS466PDL	['brenton-graveley:GTF2F1_BGHLV14-24']	ENCLB224EFN	['brenton-graveley:L-GTF2F1_BGHLV14-24']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR295XKC/rep2_1/ENCSR295XKC_rep2_1_tophat.bam
ENCFF171VAE	V19	HepG2	/targets/GTF2F1-human/	ENCSR295XKC	['brenton-graveley:GTF2F1_BGHLV14']	ENCBS824QCP	['brenton-graveley:GTF2F1_BGHLV14-23']	ENCLB962LBA	['brenton-graveley:L-GTF2F1_BGHLV14-23']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR295XKC/rep1_1/ENCSR295XKC_rep1_1_tophat.bam
ENCFF394WCB	V19	HepG2	/targets/GTF2F1-human/	ENCSR295XKC	['brenton-graveley:GTF2F1_BGHLV14']	ENCBS824QCP	['brenton-graveley:GTF2F1_BGHLV14-23']	ENCLB962LBA	['brenton-graveley:L-GTF2F1_BGHLV14-23']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR295XKC/rep1_1/ENCSR295XKC_rep1_1_star_genome.bam
ENCFF870WHW	V19	HepG2	/targets/GTF2F1-human/	ENCSR295XKC	['brenton-graveley:GTF2F1_BGHLV14']	ENCBS824QCP	['brenton-graveley:GTF2F1_BGHLV14-23']	ENCLB962LBA	['brenton-graveley:L-GTF2F1_BGHLV14-23']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR295XKC/rep1_1/ENCSR295XKC_rep1_1_star_anno.bam
ENCFF391DRT	V19	HepG2	/targets/GTF2F1-human/	ENCSR295XKC	['brenton-graveley:GTF2F1_BGHLV14']	ENCBS466PDL	['brenton-graveley:GTF2F1_BGHLV14-24']	ENCLB224EFN	['brenton-graveley:L-GTF2F1_BGHLV14-24']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR295XKC/rep2_1/ENCSR295XKC_rep2_1_star_genome.bam
ENCFF533FZX	V19	HepG2	/targets/GTF2F1-human/	ENCSR295XKC	['brenton-graveley:GTF2F1_BGHLV14']	ENCBS466PDL	['brenton-graveley:GTF2F1_BGHLV14-24']	ENCLB224EFN	['brenton-graveley:L-GTF2F1_BGHLV14-24']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR295XKC/rep2_1/ENCSR295XKC_rep2_1_star_anno.bam
ENCFF384TFV	V24	HepG2	/targets/GTF2F1-human/	ENCSR295XKC	['brenton-graveley:GTF2F1_BGHLV14']	ENCBS824QCP	['brenton-graveley:GTF2F1_BGHLV14-23']	ENCLB962LBA	['brenton-graveley:L-GTF2F1_BGHLV14-23']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR295XKC/rep1_1/ENCSR295XKC_rep1_1_tophat.bam
ENCFF554NSP	V24	HepG2	/targets/GTF2F1-human/	ENCSR295XKC	['brenton-graveley:GTF2F1_BGHLV14']	ENCBS466PDL	['brenton-graveley:GTF2F1_BGHLV14-24']	ENCLB224EFN	['brenton-graveley:L-GTF2F1_BGHLV14-24']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR295XKC/rep2_1/ENCSR295XKC_rep2_1_tophat.bam
ENCFF670UJI	V24	HepG2	/targets/GTF2F1-human/	ENCSR295XKC	['brenton-graveley:GTF2F1_BGHLV14']	ENCBS824QCP	['brenton-graveley:GTF2F1_BGHLV14-23']	ENCLB962LBA	['brenton-graveley:L-GTF2F1_BGHLV14-23']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR295XKC/rep1_1/ENCSR295XKC_rep1_1_star_genome.bam
ENCFF916DZD	V24	HepG2	/targets/GTF2F1-human/	ENCSR295XKC	['brenton-graveley:GTF2F1_BGHLV14']	ENCBS824QCP	['brenton-graveley:GTF2F1_BGHLV14-23']	ENCLB962LBA	['brenton-graveley:L-GTF2F1_BGHLV14-23']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR295XKC/rep1_1/ENCSR295XKC_rep1_1_star_anno.bam
ENCFF850EIP	V24	HepG2	/targets/GTF2F1-human/	ENCSR295XKC	['brenton-graveley:GTF2F1_BGHLV14']	ENCBS466PDL	['brenton-graveley:GTF2F1_BGHLV14-24']	ENCLB224EFN	['brenton-graveley:L-GTF2F1_BGHLV14-24']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR295XKC/rep2_1/ENCSR295XKC_rep2_1_star_genome.bam
ENCFF135DRE	V24	HepG2	/targets/GTF2F1-human/	ENCSR295XKC	['brenton-graveley:GTF2F1_BGHLV14']	ENCBS466PDL	['brenton-graveley:GTF2F1_BGHLV14-24']	ENCLB224EFN	['brenton-graveley:L-GTF2F1_BGHLV14-24']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR295XKC/rep2_1/ENCSR295XKC_rep2_1_star_anno.bam
ENCFF877VOB		K562	/targets/HNRNPC-human/	ENCSR634KBO	['brenton-graveley:HNRNPC_BGKLV21']	ENCBS220ZHX	['brenton-graveley:HNRNPC_BGKLV21_19_17567']	ENCLB949HRJ	['brenton-graveley:L-HNRNPC_BGKLV21_19_17567']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set21/tophat/novel_juncs/HNRNPC_BGKLV21_19_17567/merged.bam
ENCFF515TQP		K562	/targets/HNRNPC-human/	ENCSR634KBO	['brenton-graveley:HNRNPC_BGKLV21']	ENCBS346YOL	['brenton-graveley:HNRNPC_BGKLV21_20_17568']	ENCLB041EOH	['brenton-graveley:L-HNRNPC_BGKLV21_20_17568']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set21/tophat/novel_juncs/HNRNPC_BGKLV21_20_17568/merged.bam
ENCFF614AMY	V19	K562	/targets/HNRNPC-human/	ENCSR634KBO	['brenton-graveley:HNRNPC_BGKLV21']	ENCBS220ZHX	['brenton-graveley:HNRNPC_BGKLV21_19_17567']	ENCLB949HRJ	['brenton-graveley:L-HNRNPC_BGKLV21_19_17567']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR634KBO/rep1_1/ENCSR634KBO_rep1_1_star_genome.bam
ENCFF188NFP	V19	K562	/targets/HNRNPC-human/	ENCSR634KBO	['brenton-graveley:HNRNPC_BGKLV21']	ENCBS220ZHX	['brenton-graveley:HNRNPC_BGKLV21_19_17567']	ENCLB949HRJ	['brenton-graveley:L-HNRNPC_BGKLV21_19_17567']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR634KBO/rep1_1/ENCSR634KBO_rep1_1_star_anno.bam
ENCFF476PZV	V19	K562	/targets/HNRNPC-human/	ENCSR634KBO	['brenton-graveley:HNRNPC_BGKLV21']	ENCBS346YOL	['brenton-graveley:HNRNPC_BGKLV21_20_17568']	ENCLB041EOH	['brenton-graveley:L-HNRNPC_BGKLV21_20_17568']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR634KBO/rep2_1/ENCSR634KBO_rep2_1_star_genome.bam
ENCFF691FWZ	V19	K562	/targets/HNRNPC-human/	ENCSR634KBO	['brenton-graveley:HNRNPC_BGKLV21']	ENCBS346YOL	['brenton-graveley:HNRNPC_BGKLV21_20_17568']	ENCLB041EOH	['brenton-graveley:L-HNRNPC_BGKLV21_20_17568']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR634KBO/rep2_1/ENCSR634KBO_rep2_1_star_anno.bam
ENCFF591DCY	V19	K562	/targets/HNRNPC-human/	ENCSR634KBO	['brenton-graveley:HNRNPC_BGKLV21']	ENCBS220ZHX	['brenton-graveley:HNRNPC_BGKLV21_19_17567']	ENCLB949HRJ	['brenton-graveley:L-HNRNPC_BGKLV21_19_17567']	/labs/encode-processing-pipeline/	/long-RNA-seq/posted/hg19/2015-08-26/ENCSR634KBO/rep1_1/ENCSR634KBO_rep1_1_tophat.bam
ENCFF826BID	V19	K562	/targets/HNRNPC-human/	ENCSR634KBO	['brenton-graveley:HNRNPC_BGKLV21']	ENCBS346YOL	['brenton-graveley:HNRNPC_BGKLV21_20_17568']	ENCLB041EOH	['brenton-graveley:L-HNRNPC_BGKLV21_20_17568']	/labs/encode-processing-pipeline/	/long-RNA-seq/posted/hg19/2015-08-26/ENCSR634KBO/rep2_1/ENCSR634KBO_rep2_1_tophat.bam
ENCFF201XMY	V24	K562	/targets/HNRNPC-human/	ENCSR634KBO	['brenton-graveley:HNRNPC_BGKLV21']	ENCBS220ZHX	['brenton-graveley:HNRNPC_BGKLV21_19_17567']	ENCLB949HRJ	['brenton-graveley:L-HNRNPC_BGKLV21_19_17567']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR634KBO/rep1_1/ENCSR634KBO_rep1_1_tophat.bam
ENCFF085ADW	V24	K562	/targets/HNRNPC-human/	ENCSR634KBO	['brenton-graveley:HNRNPC_BGKLV21']	ENCBS346YOL	['brenton-graveley:HNRNPC_BGKLV21_20_17568']	ENCLB041EOH	['brenton-graveley:L-HNRNPC_BGKLV21_20_17568']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR634KBO/rep2_1/ENCSR634KBO_rep2_1_tophat.bam
ENCFF920DUX	V24	K562	/targets/HNRNPC-human/	ENCSR634KBO	['brenton-graveley:HNRNPC_BGKLV21']	ENCBS220ZHX	['brenton-graveley:HNRNPC_BGKLV21_19_17567']	ENCLB949HRJ	['brenton-graveley:L-HNRNPC_BGKLV21_19_17567']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR634KBO/rep1_1/ENCSR634KBO_rep1_1_star_anno.bam
ENCFF481NZE	V24	K562	/targets/HNRNPC-human/	ENCSR634KBO	['brenton-graveley:HNRNPC_BGKLV21']	ENCBS220ZHX	['brenton-graveley:HNRNPC_BGKLV21_19_17567']	ENCLB949HRJ	['brenton-graveley:L-HNRNPC_BGKLV21_19_17567']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR634KBO/rep1_1/ENCSR634KBO_rep1_1_star_genome.bam
ENCFF672FGY	V24	K562	/targets/HNRNPC-human/	ENCSR634KBO	['brenton-graveley:HNRNPC_BGKLV21']	ENCBS346YOL	['brenton-graveley:HNRNPC_BGKLV21_20_17568']	ENCLB041EOH	['brenton-graveley:L-HNRNPC_BGKLV21_20_17568']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR634KBO/rep2_1/ENCSR634KBO_rep2_1_star_genome.bam
ENCFF731VIB	V24	K562	/targets/HNRNPC-human/	ENCSR634KBO	['brenton-graveley:HNRNPC_BGKLV21']	ENCBS346YOL	['brenton-graveley:HNRNPC_BGKLV21_20_17568']	ENCLB041EOH	['brenton-graveley:L-HNRNPC_BGKLV21_20_17568']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/GRCh38/ENCSR634KBO/rep2_1/ENCSR634KBO_rep2_1_star_anno.bam
ENCFF545BGJ		K562	/targets/PSIP1-human/	ENCSR611LQB	['brenton-graveley:PSIP1_BGKLV21']	ENCBS972KMH	['brenton-graveley:PSIP1_BGKLV21_46_17583']	ENCLB492QKR	['brenton-graveley:L-PSIP1_BGKLV21_46_17583']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set21/tophat/novel_juncs/PSIP1_BGKLV21_46_17583/merged.bam
ENCFF434JYY		K562	/targets/PSIP1-human/	ENCSR611LQB	['brenton-graveley:PSIP1_BGKLV21']	ENCBS878WRC	['brenton-graveley:PSIP1_BGKLV21_45_17582']	ENCLB901CBE	['brenton-graveley:L-PSIP1_BGKLV21_45_17582']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set21/tophat/novel_juncs/PSIP1_BGKLV21_45_17582/merged.bam
ENCFF396JWN	V19	K562	/targets/PSIP1-human/	ENCSR611LQB	['brenton-graveley:PSIP1_BGKLV21']	ENCBS878WRC	['brenton-graveley:PSIP1_BGKLV21_45_17582']	ENCLB901CBE	['brenton-graveley:L-PSIP1_BGKLV21_45_17582']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR611LQB/rep1_1/ENCSR611LQB_rep1_1_star_genome.bam
ENCFF039KAT	V19	K562	/targets/PSIP1-human/	ENCSR611LQB	['brenton-graveley:PSIP1_BGKLV21']	ENCBS878WRC	['brenton-graveley:PSIP1_BGKLV21_45_17582']	ENCLB901CBE	['brenton-graveley:L-PSIP1_BGKLV21_45_17582']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR611LQB/rep1_1/ENCSR611LQB_rep1_1_star_anno.bam
ENCFF601QIC	V19	K562	/targets/PSIP1-human/	ENCSR611LQB	['brenton-graveley:PSIP1_BGKLV21']	ENCBS972KMH	['brenton-graveley:PSIP1_BGKLV21_46_17583']	ENCLB492QKR	['brenton-graveley:L-PSIP1_BGKLV21_46_17583']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR611LQB/rep2_1/ENCSR611LQB_rep2_1_star_genome.bam
ENCFF755WTP	V19	K562	/targets/PSIP1-human/	ENCSR611LQB	['brenton-graveley:PSIP1_BGKLV21']	ENCBS972KMH	['brenton-graveley:PSIP1_BGKLV21_46_17583']	ENCLB492QKR	['brenton-graveley:L-PSIP1_BGKLV21_46_17583']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR611LQB/rep2_1/ENCSR611LQB_rep2_1_star_anno.bam
ENCFF080HQN	V19	K562	/targets/PSIP1-human/	ENCSR611LQB	['brenton-graveley:PSIP1_BGKLV21']	ENCBS878WRC	['brenton-graveley:PSIP1_BGKLV21_45_17582']	ENCLB901CBE	['brenton-graveley:L-PSIP1_BGKLV21_45_17582']	/labs/encode-processing-pipeline/	/long-RNA-seq/posted/hg19/2015-08-26/ENCSR611LQB/rep1_1/ENCSR611LQB_rep1_1_tophat.bam
ENCFF278UPC	V19	K562	/targets/PSIP1-human/	ENCSR611LQB	['brenton-graveley:PSIP1_BGKLV21']	ENCBS972KMH	['brenton-graveley:PSIP1_BGKLV21_46_17583']	ENCLB492QKR	['brenton-graveley:L-PSIP1_BGKLV21_46_17583']	/labs/encode-processing-pipeline/	/long-RNA-seq/posted/hg19/2015-08-26/ENCSR611LQB/rep2_1/ENCSR611LQB_rep2_1_tophat.bam
ENCFF002BSQ		K562	/targets/AGO2-human/	ENCSR495YSS	['brenton-graveley:K-EIF2C2']	ENCBS215KUV	['brenton-graveley:BGK0019B-15', 'brenton-graveley:K-EIF2C2-1']	ENCLB570ESA	['brenton-graveley:lib-K-EIF2C2-1']	/labs/brenton-graveley/	set6/tophat/novel_juncs/K-EIF2C2-1/merged.bam
ENCFF002BSR		K562	/targets/AGO2-human/	ENCSR495YSS	['brenton-graveley:K-EIF2C2']	ENCBS963QYF	['brenton-graveley:BGK0019B-16', 'brenton-graveley:K-EIF2C2-2']	ENCLB771CGO	['brenton-graveley:lib-K-EIF2C2-2']	/labs/brenton-graveley/	set6/tophat/novel_juncs/K-EIF2C2-2/merged.bam
ENCFF886CDK	V19	K562	/targets/AGO2-human/	ENCSR495YSS	['brenton-graveley:K-EIF2C2']	ENCBS215KUV	['brenton-graveley:BGK0019B-15', 'brenton-graveley:K-EIF2C2-1']	ENCLB570ESA	['brenton-graveley:lib-K-EIF2C2-1']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR495YSS/rep1_1/ENCSR495YSS_rep1_1_tophat.bam
ENCFF476ZBL	V19	K562	/targets/AGO2-human/	ENCSR495YSS	['brenton-graveley:K-EIF2C2']	ENCBS963QYF	['brenton-graveley:BGK0019B-16', 'brenton-graveley:K-EIF2C2-2']	ENCLB771CGO	['brenton-graveley:lib-K-EIF2C2-2']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR495YSS/rep2_1/ENCSR495YSS_rep2_1_tophat.bam
ENCFF886DWX	V19	K562	/targets/AGO2-human/	ENCSR495YSS	['brenton-graveley:K-EIF2C2']	ENCBS215KUV	['brenton-graveley:BGK0019B-15', 'brenton-graveley:K-EIF2C2-1']	ENCLB570ESA	['brenton-graveley:lib-K-EIF2C2-1']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR495YSS/rep1_1/ENCSR495YSS_rep1_1_star_genome.bam
ENCFF200AVE	V19	K562	/targets/AGO2-human/	ENCSR495YSS	['brenton-graveley:K-EIF2C2']	ENCBS215KUV	['brenton-graveley:BGK0019B-15', 'brenton-graveley:K-EIF2C2-1']	ENCLB570ESA	['brenton-graveley:lib-K-EIF2C2-1']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR495YSS/rep1_1/ENCSR495YSS_rep1_1_star_anno.bam
ENCFF160ULM	V19	K562	/targets/AGO2-human/	ENCSR495YSS	['brenton-graveley:K-EIF2C2']	ENCBS963QYF	['brenton-graveley:BGK0019B-16', 'brenton-graveley:K-EIF2C2-2']	ENCLB771CGO	['brenton-graveley:lib-K-EIF2C2-2']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR495YSS/rep2_1/ENCSR495YSS_rep2_1_star_genome.bam
ENCFF904BTI	V19	K562	/targets/AGO2-human/	ENCSR495YSS	['brenton-graveley:K-EIF2C2']	ENCBS963QYF	['brenton-graveley:BGK0019B-16', 'brenton-graveley:K-EIF2C2-2']	ENCLB771CGO	['brenton-graveley:lib-K-EIF2C2-2']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR495YSS/rep2_1/ENCSR495YSS_rep2_1_star_anno.bam
ENCFF002BSO		K562	/targets/DDX47-human/	ENCSR334HNJ	['brenton-graveley:K-DDX47']	ENCBS841YJV	['brenton-graveley:K-DDX47-1', 'brenton-graveley:BGK0019B-13']	ENCLB814XIY	['brenton-graveley:lib-K-DDX47-1']	/labs/brenton-graveley/	set6/tophat/novel_juncs/K-DDX47-1/merged.bam
ENCFF002BSP		K562	/targets/DDX47-human/	ENCSR334HNJ	['brenton-graveley:K-DDX47']	ENCBS195ZWQ	['brenton-graveley:K-DDX47-2', 'brenton-graveley:BGK0019B-14']	ENCLB176NHY	['brenton-graveley:lib-K-DDX47-2']	/labs/brenton-graveley/	set6/tophat/novel_juncs/K-DDX47-2/merged.bam
ENCFF378TYH	V19	K562	/targets/DDX47-human/	ENCSR334HNJ	['brenton-graveley:K-DDX47']	ENCBS841YJV	['brenton-graveley:K-DDX47-1', 'brenton-graveley:BGK0019B-13']	ENCLB814XIY	['brenton-graveley:lib-K-DDX47-1']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR334HNJ/rep1_1/ENCSR334HNJ_rep1_1_tophat.bam
ENCFF382FXH	V19	K562	/targets/DDX47-human/	ENCSR334HNJ	['brenton-graveley:K-DDX47']	ENCBS195ZWQ	['brenton-graveley:K-DDX47-2', 'brenton-graveley:BGK0019B-14']	ENCLB176NHY	['brenton-graveley:lib-K-DDX47-2']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR334HNJ/rep2_1/ENCSR334HNJ_rep2_1_tophat.bam
ENCFF089ABW	V19	K562	/targets/DDX47-human/	ENCSR334HNJ	['brenton-graveley:K-DDX47']	ENCBS841YJV	['brenton-graveley:K-DDX47-1', 'brenton-graveley:BGK0019B-13']	ENCLB814XIY	['brenton-graveley:lib-K-DDX47-1']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR334HNJ/rep1_1/ENCSR334HNJ_rep1_1_star_genome.bam
ENCFF086XVI	V19	K562	/targets/DDX47-human/	ENCSR334HNJ	['brenton-graveley:K-DDX47']	ENCBS841YJV	['brenton-graveley:K-DDX47-1', 'brenton-graveley:BGK0019B-13']	ENCLB814XIY	['brenton-graveley:lib-K-DDX47-1']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR334HNJ/rep1_1/ENCSR334HNJ_rep1_1_star_anno.bam
ENCFF246XFA	V19	K562	/targets/DDX47-human/	ENCSR334HNJ	['brenton-graveley:K-DDX47']	ENCBS195ZWQ	['brenton-graveley:K-DDX47-2', 'brenton-graveley:BGK0019B-14']	ENCLB176NHY	['brenton-graveley:lib-K-DDX47-2']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR334HNJ/rep2_1/ENCSR334HNJ_rep2_1_star_genome.bam
ENCFF471NYS	V19	K562	/targets/DDX47-human/	ENCSR334HNJ	['brenton-graveley:K-DDX47']	ENCBS195ZWQ	['brenton-graveley:K-DDX47-2', 'brenton-graveley:BGK0019B-14']	ENCLB176NHY	['brenton-graveley:lib-K-DDX47-2']	/labs/encode-processing-pipeline/	/long-RNA-seq/runs/hg19/ENCSR334HNJ/rep2_1/ENCSR334HNJ_rep2_1_star_anno.bam
ENCFF338CMW		K562	/targets/HNRNPF-human/	ENCSR392HSJ	['brenton-graveley:HNRNPF_BGKLV21']	ENCBS704YXA	['brenton-graveley:HNRNPF_BGKLV21_21_17569']	ENCLB530ZME	['brenton-graveley:L-HNRNPF_BGKLV21_21_17569']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set21/tophat/novel_juncs/HNRNPF_BGKLV21_21_17569/merged.bam
ENCFF400QUH		K562	/targets/HNRNPF-human/	ENCSR392HSJ	['brenton-graveley:HNRNPF_BGKLV21']	ENCBS477JCG	['brenton-graveley:HNRNPF_BGKLV21_22_17570']	ENCLB270SGX	['brenton-graveley:L-HNRNPF_BGKLV21_22_17570']	/labs/brenton-graveley/	/archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set21/tophat/novel_juncs/HNRNPF_BGKLV21_22_17570/merged.bam
